Date,Away_team,Home_conference,Away_conference
12/5/2021,Chattanooga,Atlantic Sun,Southern
12/5/2021,Quinnipiac,Metro Atlantic Athletic,Metro Atlantic Athletic
12/5/2021,Northwestern,Big Ten,Big Ten
12/5/2021,Minnesota,Southeastern,Big Ten
12/5/2021,Fairfield,Metro Atlantic Athletic,Metro Atlantic Athletic
12/5/2021,Carver,Atlantic Sun,NA
12/5/2021,Richmond,Missouri Valley,Atlantic 10
12/5/2021,Xavier,Big 12,Big East
12/5/2021,Arizona St.,Pacific-12,Pacific-12
12/5/2021,Arizona,Pacific-12,Pacific-12
12/5/2021,Ohio St.,Big Ten,Big Ten
12/5/2021,Marist,Metro Atlantic Athletic,Metro Atlantic Athletic
12/5/2021,Siena,Metro Atlantic Athletic,Metro Atlantic Athletic
12/5/2021,Belmont,Southern,Ohio Valley
12/5/2021,Cal Poly,West Coast,Big West
12/5/2021,VMI,Western Athletic,Southern
12/5/2021,Georgetown,Southeastern,Big East
12/5/2021,Hartford,Northeast,America East
12/5/2021,Fordham,Big East,Atlantic 10
12/5/2021,Charleston Southern,Western Athletic,Big South
12/5/2021,Denver,Sun Belt,Summit League
12/5/2021,Southeastern Louisiana,Sun Belt,Southland
12/5/2021,Cal Lutheran,Big West,NA
12/5/2021,Bethune Cookman,American Athletic,Southwest Athletic
12/5/2021,California,Pacific-12,Pacific-12
12/5/2021,Valparaiso,Mid-American,Missouri Valley
12/5/2021,Kansas St.,American Athletic,Big 12
12/5/2021,Kennesaw St.,Southern,Atlantic Sun
12/6/2021,Mercer,Sun Belt,Southern
12/6/2021,Columbia,Patriot League,Ivy League
12/6/2021,Texas Southern,Southeastern,Southwest Athletic
12/6/2021,Voorhees,Sun Belt,NA
12/6/2021,Babson,Ivy League,NA
12/6/2021,Alcorn St.,American Athletic,Southwest Athletic
12/6/2021,Illinois,Big Ten,Big Ten
12/6/2021,Towson,Mid-American,Colonial Athletic Association
12/6/2021,Delaware St.,Atlantic Sun,Mid-Eastern Athletic
12/6/2021,Presbyterian,Ohio Valley,Big South
12/6/2021,Millersville,Mid-Eastern Athletic,NA
12/6/2021,New Mexico St.,Mountain West,Western Athletic
12/6/2021,San Jose St.,West Coast,Mountain West
12/6/2021,North Carolina Central,Southern,Mid-Eastern Athletic
12/7/2021,Charlotte,Southeastern,Conference USA
12/7/2021,Purchase,Patriot League,NA
12/7/2021,Oakland,Mid-American,Horizon League
12/7/2021,North Dakota,Western Athletic,Summit League
12/7/2021,Boise St.,Big West,Mountain West
12/7/2021,Columbia International,Big South,NA
12/7/2021,Duquesne,Big East,Atlantic 10
12/7/2021,North Carolina A&T,American Athletic,Big South
12/7/2021,Florida Gulf Coast,Southwest Athletic,Atlantic Sun
12/7/2021,Navy,Atlantic 10,Patriot League
12/7/2021,Jacksonville,Southeastern,Atlantic Sun
12/7/2021,Guilford,Big South,NA
12/7/2021,Champion Christian,Southland,NA
12/7/2021,Virginia,Colonial Athletic Association,Atlantic Coast
12/7/2021,UTEP,Big 12,Conference USA
12/7/2021,Southern,Southeastern,Southwest Athletic
12/7/2021,Fairleigh Dickinson,Atlantic 10,Northeast
12/7/2021,Roosevelt,Missouri Valley,NA
12/7/2021,Brown,Northeast,Ivy League
12/7/2021,Eastern Illinois,Southeastern,Ohio Valley
12/7/2021,North Dakota St.,Big Sky,Summit League
12/7/2021,Michigan,Big Ten,Big Ten
12/7/2021,Massachusetts,Colonial Athletic Association,Atlantic 10
12/7/2021,South Dakota,Big Sky,Summit League
12/7/2021,Butler,Big 12,Big East
12/7/2021,Bucknell,Ivy League,Patriot League
12/7/2021,Vermont,Big East,America East
12/7/2021,Sacred Heart,Atlantic 10,Northeast
12/7/2021,Belmont,Atlantic 10,Ohio Valley
12/7/2021,Mount St. Mary's,West Coast,Northeast
12/7/2021,Villanova,Atlantic Coast,Big East
12/7/2021,Dallas Christian,Western Athletic,NA
12/7/2021,Texas Tech,Southeastern,Big 12
12/7/2021,Bradley,Mid-American,Missouri Valley
12/7/2021,Charleston,American Athletic,Colonial Athletic Association
12/7/2021,Loyola Marymount,American Athletic,West Coast
12/7/2021,Eastern Kentucky,Pacific-12,Atlantic Sun
12/7/2021,East West,Missouri Valley,NA
12/7/2021,Temple,Southeastern,American Athletic
12/7/2021,Old Dominion,Colonial Athletic Association,Conference USA
12/7/2021,Furman,Big South,Southern
12/7/2021,Albany,Ivy League,America East
12/8/2021,Samford,Southwest Athletic,Southern
12/8/2021,St. Francis PA,Patriot League,Northeast
12/8/2021,Wyoming,Pacific-12,Mountain West
12/8/2021,Arkansas St.,Southwest Athletic,Sun Belt
12/8/2021,Marist,America East,Metro Atlantic Athletic
12/8/2021,UMass Lowell,Patriot League,America East
12/8/2021,New Hampshire,Northeast,America East
12/8/2021,Utah St.,West Coast,Mountain West
12/8/2021,Idaho St.,Pacific-12,Big Sky
12/8/2021,Eastern Washington,Pacific-12,Big Sky
12/8/2021,Quinnipiac,Ivy League,Metro Atlantic Athletic
12/8/2021,Lafayette,Colonial Athletic Association,Patriot League
12/8/2021,Niagara,Mid-American,Metro Atlantic Athletic
12/8/2021,Holy Cross,Metro Atlantic Athletic,Patriot League
12/8/2021,North Florida,Southeastern,Atlantic Sun
12/8/2021,Palm Beach Atlantic,Conference USA,NA
12/8/2021,Wofford,Big South,Southern
12/8/2021,Coppin St.,Atlantic 10,Mid-Eastern Athletic
12/8/2021,UMBC,Big East,America East
12/8/2021,Carver,Sun Belt,NA
12/8/2021,Hawaii Pacific,Big West,NA
12/8/2021,South Dakota St.,Big Sky,Summit League
12/8/2021,Marquette,Big 12,Big East
12/8/2021,Missouri St.,Sun Belt,Missouri Valley
12/8/2021,Bethesda,Big West,Pacific Christian Athletic
12/8/2021,McNeese St.,Sun Belt,Southland
12/8/2021,Louisiana College,Sun Belt,NA
12/8/2021,Bluefield,Conference USA,NA
12/8/2021,Bluefield,Conference USA,NA
12/8/2021,Clarks Summit,Mid-Eastern Athletic,NA
12/8/2021,Lipscomb,Atlantic Coast,Atlantic Sun
12/8/2021,Michigan St.,Big Ten,Big Ten
12/8/2021,Air Force,Big Sky,Mountain West
12/8/2021,Drake,Summit League,Missouri Valley
12/8/2021,Alabama A&M,Atlantic Sun,Southwest Athletic
12/8/2021,Canisius,Horizon League,Metro Atlantic Athletic
12/8/2021,Towson,Big Ten,Colonial Athletic Association
12/8/2021,Wagner,Big Ten,Northeast
12/8/2021,Lancaster Bible,Horizon League,NA
12/8/2021,Penn,Atlantic 10,Ivy League
12/8/2021,St. Francis NY,Metro Atlantic Athletic,Northeast
12/8/2021,Cal St. Fullerton,Mountain West,Big West
12/8/2021,Fresno St.,West Coast,Mountain West
12/8/2021,Purdue Fort Wayne,Ohio Valley,Horizon League
12/8/2021,Dayton,American Athletic,Atlantic 10
12/8/2021,Evansville,Ohio Valley,Missouri Valley
12/8/2021,Utah Valley,Big Sky,Western Athletic
12/8/2021,Loyola MD,Atlantic 10,Patriot League
12/8/2021,Hofstra,America East,Colonial Athletic Association
12/8/2021,Southwestern Assemblie,Western Athletic,NA
12/8/2021,Utah,Big 12,Pacific-12
12/8/2021,UT Rio Grande Valley,Southland,Western Athletic
12/8/2021,Chattanooga,Big South,Southern
12/8/2021,Seattle,Mountain West,Western Athletic
12/8/2021,Jacksonville St.,Atlantic 10,Atlantic Sun
12/8/2021,Cornell,Atlantic Coast,Ivy League
12/8/2021,Weber St.,Pacific-12,Big Sky
12/8/2021,Connecticut,Big 12,Big East
12/8/2021,Tennessee Tech,Southern,Ohio Valley
12/8/2021,Buffalo,Conference USA,Mid-American
12/8/2021,Indiana,Big Ten,Big Ten
12/8/2021,Ball St.,Big East,Mid-American
12/8/2021,Central Michigan,Horizon League,Mid-American
12/9/2021,Grand Canyon,Pacific-12,Western Athletic
12/9/2021,Asbury,Atlantic Sun,NA
12/9/2021,LIU,Atlantic 10,Northeast
12/9/2021,Merrimack,West Coast,Northeast
12/9/2021,Iowa,Big 12,Big Ten
12/9/2021,Detroit Mercy,Mid-American,Horizon League
12/9/2021,Nicholls St.,Southwest Athletic,Southland
12/9/2021,Bethune Cookman,Big Sky,Southwest Athletic
12/9/2021,Denver,Mountain West,Summit League
12/9/2021,Carver,Mid-Eastern Athletic,NA
12/9/2021,Colgate,Atlantic Coast,Patriot League
12/9/2021,Purdue,Big Ten,Big Ten
12/9/2021,Texas,Big East,Big 12
12/9/2021,Lindsey Wilson,Southwest Athletic,NA
12/9/2021,Monmouth,Big East,Metro Atlantic Athletic
12/9/2021,Hampton,Colonial Athletic Association,Big South
12/10/2021,Midway,Atlantic Sun,NA
12/10/2021,Prairie View A&M,Mountain West,Southwest Athletic
12/10/2021,Vermont,Ivy League,America East
12/10/2021,Milwaukee,Pacific-12,Horizon League
12/10/2021,Moravian,Colonial Athletic Association,NA
12/10/2021,Appalachian St.,Southern,Sun Belt
12/10/2021,DePaul,Atlantic Coast,Big East
12/10/2021,Murray St.,American Athletic,Ohio Valley
12/10/2021,Yellowstone Christian,Big Sky,NA
12/10/2021,Army,America East,Patriot League
12/10/2021,Cal St. Northridge,Summit League,Big West
12/10/2021,High Point,Mid-Eastern Athletic,Big South
12/10/2021,IUPUI,Ohio Valley,Horizon League
12/10/2021,Green Bay,Western Athletic,Horizon League
12/10/2021,Loyola Chicago,Southeastern,Missouri Valley
12/11/2021,Drexel,Western Athletic,Colonial Athletic Association
12/11/2021,Houston,Southeastern,American Athletic
12/11/2021,Columbia,America East,Ivy League
12/11/2021,Nebraska,Southeastern,Big Ten
12/11/2021,SUNY Oneonta,America East,NA
12/11/2021,St. John Fisher,Mid-American,NA
12/11/2021,Eastern Illinois,Big East,Ohio Valley
12/11/2021,Idaho,Big West,Big Sky
12/11/2021,Life Pacific,Big West,NA
12/11/2021,Santa Clara,Pacific-12,West Coast
12/11/2021,Illinois Chicago,Mid-American,Horizon League
12/11/2021,Illinois St.,Western Athletic,Missouri Valley
12/11/2021,St. Bonaventure,Big East,Atlantic 10
12/11/2021,Towson,Mid-Eastern Athletic,Colonial Athletic Association
12/11/2021,BYU,Big East,West Coast
12/11/2021,Boston University,Ivy League,Patriot League
12/11/2021,St. Francis NY,Mid-Eastern Athletic,Northeast
12/11/2021,Western Michigan,Horizon League,Mid-American
12/11/2021,Denver,Western Athletic,Summit League
12/11/2021,Clemson,Missouri Valley,Atlantic Coast
12/11/2021,New Hampshire,Atlantic 10,America East
12/11/2021,Morehead St.,Southern,Ohio Valley
12/11/2021,Marshall,Atlantic Sun,Conference USA
12/11/2021,FIU,Mid-American,NCAA
12/11/2021,UC Irvine,Mountain West,Big West
12/11/2021,Syracuse,Big East,Atlantic Coast
12/11/2021,LSU,Atlantic Coast,Southeastern
12/11/2021,Ottawa AZ,Western Athletic,NA
12/11/2021,Siena,Patriot League,Metro Atlantic Athletic
12/11/2021,Rice,Southland,Conference USA
12/11/2021,Arizona,Big Ten,Pacific-12
12/11/2021,Grambling St.,Southland,Southwest Athletic
12/11/2021,UNC Wilmington,Atlantic Sun,Colonial Athletic Association
12/11/2021,Radford,Colonial Athletic Association,Big South
12/11/2021,Missouri,Big 12,Southeastern
12/11/2021,Voorhees,Atlantic Sun,NA
12/11/2021,Penn,Atlantic 10,Ivy League
12/11/2021,Princeton,Patriot League,Ivy League
12/11/2021,Philander Smith,Sun Belt,NA
12/11/2021,Morgan St.,Big South,Mid-Eastern Athletic
12/11/2021,Louisiana,Conference USA,Sun Belt
12/11/2021,New Mexico St.,West Coast,Western Athletic
12/11/2021,UCLA,Big East,Pacific-12
12/11/2021,St. Mary's MD,Mid-Eastern Athletic,NA
12/11/2021,Georgia Southern,Southern,Sun Belt
12/11/2021,Minnesota,Big Ten,Big Ten
12/11/2021,Penn St.,Big Ten,Big Ten
12/11/2021,Western Kentucky,Southeastern,Conference USA
12/11/2021,Colorado St.,Southeastern,Mountain West
12/11/2021,Arkansas St.,Southwest Athletic,Sun Belt
12/11/2021,Oral Roberts,Missouri Valley,Summit League
12/11/2021,American,Northeast,Patriot League
12/11/2021,Texas A&M Corpus Chris,Summit League,Southland
12/11/2021,Elon,Atlantic Coast,Colonial Athletic Association
12/11/2021,Eastern Washington,Summit League,Big Sky
12/11/2021,Austin Peay,Atlantic Sun,Ohio Valley
12/11/2021,Massachusetts,Conference USA,Atlantic 10
12/11/2021,Dallas Christian,Southland,NA
12/11/2021,Kentucky,Atlantic Coast,Southeastern
12/11/2021,Wisconsin,Big Ten,Big Ten
12/11/2021,Arkansas,Big 12,Southeastern
12/11/2021,VCU,Conference USA,Atlantic 10
12/11/2021,Alabama St.,West Coast,Southwest Athletic
12/11/2021,Cal Poly,Big Sky,Big West
12/11/2021,Central Connecticut,Big East,Northeast
12/11/2021,Southeast Missouri St.,Horizon League,Ohio Valley
12/11/2021,Maine,Metro Atlantic Athletic,America East
12/11/2021,Toledo,Atlantic 10,Mid-American
12/11/2021,Florida Gulf Coast,Horizon League,Atlantic Sun
12/11/2021,Temple,Atlantic 10,American Athletic
12/11/2021,Boston College,Atlantic 10,Atlantic Coast
12/11/2021,UC Santa Barbara,West Coast,Big West
12/11/2021,UTSA,Western Athletic,Conference USA
12/11/2021,Alabama A&M,Southern,Southwest Athletic
12/11/2021,Cal Lutheran,West Coast,NA
12/11/2021,Pacific,Mountain West,West Coast
12/11/2021,Northern Arizona,Summit League,Big Sky
12/11/2021,Southeastern Louisiana,Southwest Athletic,Southland
12/11/2021,Saint Katherine,Big Sky,NA
12/11/2021,Montana St.,Summit League,Big Sky
12/11/2021,Liberty,Western Athletic,Atlantic Sun
12/11/2021,Ohio,Atlantic Sun,Mid-American
12/11/2021,Bryant,America East,Northeast
12/11/2021,UNC Greensboro,Southeastern,Southern
12/11/2021,Middle Tennessee,Ohio Valley,Conference USA
12/11/2021,Troy,Ohio Valley,Sun Belt
12/11/2021,TCU,Southeastern,Big 12
12/11/2021,Southern Illinois,American Athletic,Missouri Valley
12/11/2021,North Carolina A&T,American Athletic,Big South
12/11/2021,Mass College of Libera,America East,NA
12/11/2021,Hartford,Mountain West,America East
12/11/2021,Lamar,Sun Belt,Western Athletic
12/11/2021,Manhattan,Pacific-12,Metro Atlantic Athletic
12/11/2021,New Orleans,Mountain West,Southland
12/11/2021,Charlotte,Missouri Valley,Conference USA
12/11/2021,Gardner Webb,Southern,Big South
12/11/2021,USC Upstate,Atlantic Coast,Big South
12/11/2021,South Dakota St.,Pacific-12,Summit League
12/11/2021,Maine Fort Kent,Big Sky,NA
12/11/2021,UNC Asheville,Southern,Big South
12/11/2021,Norfolk St.,American Athletic,Mid-Eastern Athletic
12/11/2021,Carver,Big South,NA
12/11/2021,Utah Valley,Mountain West,Western Athletic
12/11/2021,Cincinnati,Big East,American Athletic
12/11/2021,Canisius,Horizon League,Metro Atlantic Athletic
12/12/2021,Florida A&M,Mid-American,Southwest Athletic
12/12/2021,Indiana Kokomo,Mid-American,NA
12/12/2021,Villanova,Big 12,Big East
12/12/2021,Presbyterian,Colonial Athletic Association,Big South
12/12/2021,Tennessee Wesleyan,Southern,NA
12/12/2021,Wofford,Sun Belt,Southern
12/12/2021,Virginia Tech,Atlantic 10,Atlantic Coast
12/12/2021,Miami FL,Atlantic 10,Atlantic Coast
12/12/2021,John Jay,Colonial Athletic Association,NA
12/12/2021,Merrimack,Big Ten,Northeast
12/12/2021,Yale,Metro Atlantic Athletic,Ivy League
12/12/2021,Jackson St.,Big 12,Southwest Athletic
12/12/2021,Green Bay,Big 12,Horizon League
12/12/2021,Tennessee St.,Atlantic Sun,Ohio Valley
12/12/2021,Hampton,Patriot League,Big South
12/12/2021,Navy,Metro Atlantic Athletic,Patriot League
12/12/2021,Florida,Big Ten,Southeastern
12/12/2021,Purdue,Big Sky,Big Ten
12/12/2021,UTEP,Mountain West,Conference USA
12/12/2021,Buffalo St.,Metro Atlantic Athletic,NA
12/12/2021,Davidson,Colonial Athletic Association,Atlantic 10
12/12/2021,Alice Lloyd,Horizon League,National Association of Intercollegiate Athletics
12/12/2021,NJIT,Big Ten,America East
12/12/2021,Monmouth,Atlantic Coast,Metro Atlantic Athletic
12/12/2021,Nyack,Metro Atlantic Athletic,NA
12/12/2021,UC San Diego,Western Athletic,Big West
12/12/2021,Rutgers,Big East,Big Ten
12/12/2021,UMKC,Ohio Valley,Western Athletic
12/12/2021,Florida St.,Southeastern,Atlantic Coast
12/12/2021,Colgate,Big East,Patriot League
12/12/2021,Oregon,Pacific-12,Pacific-12
12/12/2021,Southwestern,Sun Belt,NA
12/12/2021,Millsaps,Conference USA,NA
12/12/2021,Cal Baptist,Big West,Western Athletic
12/12/2021,Long Beach St.,Pacific-12,Big West
12/12/2021,Kent St.,Big 12,Mid-American
12/12/2021,Fairfield,Colonial Athletic Association,Metro Atlantic Athletic
12/13/2021,Erskine,Sun Belt,NA
12/13/2021,Albany,Atlantic Coast,America East
12/13/2021,Northern Illinois,Western Athletic,Mid-American
12/13/2021,Sacred Heart,Ivy League,Northeast
12/13/2021,Radford,Atlantic 10,Big South
12/13/2021,LaGrange,Atlantic Sun,NA
12/13/2021,Carver,Atlantic Sun,NA
12/13/2021,US Merchant Marine,Northeast,NA
12/13/2021,Rhode Island,Horizon League,Atlantic 10
12/13/2021,American Indian,Big Sky,NA
12/13/2021,Keene St.,America East,NA
12/13/2021,Blue Mountain,Southland,NA
12/13/2021,Indiana St.,Summit League,Missouri Valley
12/13/2021,Cleveland St.,Big 12,Horizon League
12/13/2021,Cal Poly,West Coast,Big West
12/13/2021,UMBC,Ivy League,America East
12/13/2021,Johnson FL,Atlantic Sun,NA
12/14/2021,North Alabama,Southeastern,Atlantic Sun
12/14/2021,Santa Clara,Mountain West,West Coast
12/14/2021,Florida A&M,American Athletic,Southwest Athletic
12/14/2021,Miami OH,Atlantic Coast,Mid-American
12/14/2021,Arizona St.,Big East,Pacific-12
12/14/2021,Coppin St.,Colonial Athletic Association,Mid-Eastern Athletic
12/14/2021,South Carolina St.,Atlantic Coast,Mid-Eastern Athletic
12/14/2021,North Carolina A&T,Southern,Big South
12/14/2021,St. Francis PA,America East,Northeast
12/14/2021,Louisiana,American Athletic,Sun Belt
12/14/2021,DePaul,Horizon League,Big East
12/14/2021,Quincy,Missouri Valley,NA
12/14/2021,Carolina,Big South,NA
12/14/2021,LSU Shreveport,Conference USA,NA
12/14/2021,Southeastern Louisiana,Atlantic Coast,Southland
12/14/2021,Northwestern St.,Southeastern,Southland
12/14/2021,Alabama,American Athletic,Southeastern
12/14/2021,Texas A&M Corpus Chris,Big Ten,Southland
12/14/2021,Georgia St.,Southeastern,Sun Belt
12/14/2021,Furman,Atlantic Coast,Southern
12/14/2021,North Central MN,Summit League,NA
12/14/2021,Sam Houston St.,Conference USA,Western Athletic
12/14/2021,Jackson St.,Missouri Valley,Southwest Athletic
12/14/2021,UC Davis,Pacific-12,Big West
12/14/2021,UC Santa Barbara,West Coast,Big West
12/14/2021,Cal St.Stanislaus,West Coast,NA
12/14/2021,Tarleton St.,Sun Belt,Western Athletic
12/14/2021,Allen,Southeastern,Appalachian Athletic
12/14/2021,Austin Peay,American Athletic,Ohio Valley
12/14/2021,Jacksonville,Conference USA,Atlantic Sun
12/14/2021,Medgar Evers,Northeast,NA
12/14/2021,Northland,Summit League,NA
12/14/2021,Louisiana Monroe,Western Athletic,Sun Belt
12/14/2021,Central Connecticut,America East,Northeast
12/14/2021,USC Upstate,Southeastern,Big South
12/14/2021,UNC Asheville,Ohio Valley,Big South
12/14/2021,Arkansas Pine Bluff,Big 12,Southwest Athletic
12/14/2021,Arkansas St.,Big 12,Sun Belt
12/14/2021,UNC Greensboro,Colonial Athletic Association,Southern
12/14/2021,Alabama A&M,Sun Belt,Southwest Athletic
12/14/2021,Grambling St.,Conference USA,Southwest Athletic
12/14/2021,Texas Southern,Western Athletic,Southwest Athletic
12/14/2021,VMI,Atlantic Coast,Southern
12/14/2021,Centre,Conference USA,NA
12/14/2021,Alcorn St.,American Athletic,Southwest Athletic
12/14/2021,Monmouth,Ivy League,Metro Atlantic Athletic
12/15/2021,Cal St. Bakersfield,Western Athletic,Big West
12/15/2021,Northern Colorado,Pacific-12,Big Sky
12/15/2021,Chattanooga,Ohio Valley,Southern
12/15/2021,Johnson FL,Southwest Athletic,NA
12/15/2021,Georgia Southern,Big South,Sun Belt
12/15/2021,Methodist,Sun Belt,NA
12/15/2021,UC San Diego,Summit League,Big West
12/15/2021,American Indian,Western Athletic,NA
12/15/2021,Midway,Atlantic Sun,NA
12/15/2021,Multnomah,Big Sky,NA
12/15/2021,Winthrop,Colonial Athletic Association,Big South
12/15/2021,Fairfield,Northeast,Metro Atlantic Athletic
12/15/2021,Lipscomb,Atlantic Coast,Atlantic Sun
12/15/2021,Howard,Big East,Mid-Eastern Athletic
12/15/2021,FIU,Atlantic Sun,NCAA
12/15/2021,Middle Tennessee,Southeastern,Conference USA
12/15/2021,South Dakota St.,Missouri Valley,Summit League
12/15/2021,Tennessee Wesleyan,Ohio Valley,NA
12/15/2021,Minnesota Duluth,Mountain West,NA
12/15/2021,Gardner Webb,Mid-Eastern Athletic,Big South
12/15/2021,Marshall,Mid-American,Conference USA
12/15/2021,Portland,Pacific-12,West Coast
12/15/2021,Carver,Big South,NA
12/15/2021,Bellarmine,Summit League,Atlantic Sun
12/15/2021,Southeast Missouri St.,Missouri Valley,Ohio Valley
12/15/2021,UCF,American Athletic,American Athletic
12/15/2021,Lamar,Sun Belt,Western Athletic
12/15/2021,Mount Olive,Colonial Athletic Association,NA
12/15/2021,Nebraska Omaha,Mountain West,Summit League
12/15/2021,UC Irvine,Pacific-12,Big West
12/15/2021,Florida Atlantic,Atlantic 10,Conference USA
12/15/2021,New Mexico St.,Pacific-12,Western Athletic
12/15/2021,Utah St.,Big Sky,Mountain West
12/15/2021,Nicholls St.,Big Ten,Southland
12/15/2021,Akron,Horizon League,Mid-American
12/15/2021,Morehead St.,Big East,Ohio Valley
12/16/2021,Tennessee St.,Big South,Ohio Valley
12/16/2021,Regent,Sun Belt,NA
12/16/2021,Jackson St.,Missouri Valley,Southwest Athletic
12/16/2021,Appalachian St.,Atlantic Coast,Sun Belt
12/16/2021,Chicago St.,Horizon League,Western Athletic
12/16/2021,UT Arlington,Summit League,Sun Belt
12/16/2021,Incarnate Word,Conference USA,Southland
12/16/2021,Carver,Mid-Eastern Athletic,NA
12/16/2021,Dartmouth,Pacific-12,Ivy League
12/16/2021,Charleston,Atlantic Sun,Colonial Athletic Association
12/16/2021,Montreat,Ohio Valley,NA
12/16/2021,St. Andrews Pres.,Southern,NA
12/16/2021,Alcorn St.,American Athletic,Southwest Athletic
12/16/2021,UNC Greensboro,America East,Southern
12/16/2021,McNeese St.,Conference USA,Southland
12/16/2021,Immaculata,Northeast,NA
12/17/2021,Redlands,Big West,NA
12/17/2021,Villanova,Big East,Big East
12/17/2021,Liberty,American Athletic,Atlantic Sun
12/17/2021,Florida Tech,Conference USA,NA
12/17/2021,Cal Poly,Mountain West,Big West
12/17/2021,Converse,Big South,NA
12/17/2021,Furman,Southeastern,Southern
12/17/2021,Richmond,Big Sky,Atlantic 10
12/17/2021,North Dakota St.,West Coast,Summit League
12/17/2021,San Jose St.,West Coast,Mountain West
12/17/2021,Menlo,Big Sky,NA
12/17/2021,Saint Mary's,Mountain West,West Coast
12/17/2021,Florida A&M,West Coast,Southwest Athletic
12/17/2021,South Alabama,Western Athletic,Sun Belt
12/17/2021,Bethesda,Western Athletic,Pacific Christian Athletic
12/17/2021,UT Rio Grande Valley,Conference USA,Western Athletic
12/17/2021,St. Bonaventure,Atlantic Coast,Atlantic 10
12/17/2021,Charlotte,Atlantic Coast,Conference USA
12/17/2021,Aquinas,Mid-American,East Coast
12/18/2021,Jacksonville St.,Southeastern,Atlantic Sun
12/18/2021,Cal Baptist,Pacific-12,Western Athletic
12/18/2021,Hofstra,Southeastern,Colonial Athletic Association
12/18/2021,Ecclesia,Southwest Athletic,NA
12/18/2021,Bethel IN,Ohio Valley,NA
12/18/2021,Marist,Patriot League,Metro Atlantic Athletic
12/18/2021,Saint Joseph's,Missouri Valley,Atlantic 10
12/18/2021,La Salle,Patriot League,Atlantic 10
12/18/2021,Purdue,Big East,Big Ten
12/18/2021,Portland St.,Big West,Big Sky
12/18/2021,Buffalo,Metro Atlantic Athletic,Mid-American
12/18/2021,Hartford,Northeast,America East
12/18/2021,Ashland,American Athletic,NA
12/18/2021,South Carolina,Atlantic Coast,Southeastern
12/18/2021,Cal St. Bakersfield,Pacific-12,Big West
12/18/2021,Providence,Big East,Big East
12/18/2021,Radford,Atlantic 10,Big South
12/18/2021,North Carolina Central,Mid-Eastern Athletic,Mid-Eastern Athletic
12/18/2021,Elon,Atlantic Coast,Colonial Athletic Association
12/18/2021,Northern Kentucky,Atlantic Sun,Horizon League
12/18/2021,TCU,Big East,Big 12
12/18/2021,George Mason,Southeastern,Atlantic 10
12/18/2021,Covenant,Sun Belt,NA
12/18/2021,Toccoa Falls,Sun Belt,NA
12/18/2021,Texas Tech,West Coast,Big 12
12/18/2021,San Francisco,Western Athletic,West Coast
12/18/2021,UNC Wilmington,Big South,Colonial Athletic Association
12/18/2021,North Carolina A&T,Mid-Eastern Athletic,Big South
12/18/2021,American Indian,Big Sky,NA
12/18/2021,Bethesda,Big Sky,Pacific Christian Athletic
12/18/2021,St. Francis PA,Big Ten,Northeast
12/18/2021,Ball St.,Missouri Valley,Mid-American
12/18/2021,Notre Dame,Big Ten,Atlantic Coast
12/18/2021,Alabama A&M,Missouri Valley,Southwest Athletic
12/18/2021,Utah St.,Big Ten,Mountain West
12/18/2021,Webber International,Atlantic Sun,NA
12/18/2021,Stephen F. Austin,Big 12,Western Athletic
12/18/2021,North Carolina,Southeastern,Atlantic Coast
12/18/2021,Southern Miss,Sun Belt,Conference USA
12/18/2021,Louisiana Tech,Southeastern,Conference USA
12/18/2021,New England,America East,NA
12/18/2021,Northern Iowa,Conference USA,Missouri Valley
12/18/2021,Bellarmine,Mid-American,Atlantic Sun
12/18/2021,Southern Utah,Big Ten,Big Sky
12/18/2021,Dayton,Southeastern,Atlantic 10
12/18/2021,Utah,Southeastern,Pacific-12
12/18/2021,Central Arkansas,Missouri Valley,Atlantic Sun
12/18/2021,Alice Lloyd,Ohio Valley,National Association of Intercollegiate Athletics
12/18/2021,Morgan St.,Northeast,Mid-Eastern Athletic
12/18/2021,Chattanooga,Ohio Valley,Southern
12/18/2021,Loyola Marymount,Mountain West,West Coast
12/18/2021,Northern New Mexico,Western Athletic,NA
12/18/2021,Albany,Metro Atlantic Athletic,America East
12/18/2021,Mississippi Valley St.,Southland,Southwest Athletic
12/18/2021,Southeastern Baptist,Atlantic Sun,NA
12/18/2021,Dixie St.,Summit League,Western Athletic
12/18/2021,Trinity Baptist,Atlantic Sun,NA
12/18/2021,San Diego,Big Sky,West Coast
12/18/2021,Southwestern Adventist,Southland,NA
12/18/2021,Houston,Big 12,American Athletic
12/18/2021,Baylor,Pacific-12,Big 12
12/18/2021,Texas A&M,Pacific-12,Southeastern
12/18/2021,Southeast Missouri St.,West Coast,Ohio Valley
12/18/2021,Wofford,Big South,Southern
12/18/2021,Auburn,Atlantic 10,Southeastern
12/18/2021,Hardin Simmons,Western Athletic,NA
12/18/2021,Hardin Simmons,Western Athletic,NA
12/18/2021,Kennesaw St.,Southern,Atlantic Sun
12/18/2021,Tennessee St.,Mid-Eastern Athletic,Ohio Valley
12/18/2021,Florida,American Athletic,Southeastern
12/18/2021,Maryville MO,Missouri Valley,NA
12/18/2021,Pittsburgh,Big East,Atlantic Coast
12/18/2021,Saint Peter's,America East,Metro Atlantic Athletic
12/18/2021,Lamar,Southland,Western Athletic
12/18/2021,Paul Quinn,Sun Belt,NA
