team,SRS,SOS,conf_wins,conf_losses,ppg,ppg_allowed,MP,FG,FGA,FG_pct,X3P,X3PA,X3P_pct,FT,FTA,FT_pct,ORB,TRB,AST,STL,BLK,TOV,PF,tournament
Cincinnati,7.44,4.28,7,11,69.4,65.9,40,24.6,61,0.404,8.15,25.8,0.315,12.1,18,0.669,11.5,37.2,13.1,6.3,3.85,10.5,17.5,0
The Citadel,-6.8,-1.97,6,12,76.8,76.8,40.8,27,60.8,0.445,10.7,30.3,0.354,12,17.9,0.672,9.32,37.3,16.1,4.71,3.58,12.2,15.3,0
Clemson,9.59,6.31,8,12,71.7,68.5,40.3,25.8,56.6,0.456,7.76,21.4,0.363,12.4,16.8,0.736,8.52,34.6,14.2,5.91,2.33,11,15.8,0
Cleveland State,-1.78,-5.64,15,6,75.4,69.9,40.8,27.5,57.5,0.478,6.35,19.4,0.327,14,20.8,0.671,11.1,35.2,16.5,8.65,3.35,13.5,18.3,0
Coastal Carolina,0.66,-2.41,8,8,72.8,65.3,40.5,26.4,58.7,0.45,7.45,21,0.355,12.5,18,0.696,12.1,39.9,13.5,6.67,3.67,13.2,14.3,0
Colgate,0.98,-6.37,16,2,75.6,67.1,40.1,27.5,58.1,0.474,9.91,24.5,0.404,10.6,15.2,0.697,8.83,36.2,17.1,6.11,3.6,11.3,14.5,1
Charleston,0.52,-1.23,8,10,78.2,76.4,40.3,28,63.7,0.439,8.13,23.9,0.339,14.1,19.3,0.73,13.8,40.3,13.2,7.97,2.75,15.6,20.6,0
Colorado State,11.51,4.77,14,4,73.4,66,40.3,26.5,55.2,0.48,7.77,21.8,0.357,12.6,16.4,0.773,6.71,31.7,14.3,6.39,3.06,10.1,15,1
Colorado,9.82,6.15,12,8,71.1,67.4,40.3,24.8,56,0.442,6.88,18.8,0.366,14.7,19.4,0.756,9.97,37.1,13.4,5.48,3.18,13.5,15.6,0
Columbia,-17.5,-4.62,1,13,67.4,78.8,40.2,25,58.8,0.425,7.62,21.4,0.356,9.69,15.5,0.627,10.2,35.3,12,5.92,2.04,15.2,16.7,0
Connecticut,16.4,6.88,13,6,74.8,65.3,40.8,26.7,61.2,0.435,7.42,21.1,0.352,14.1,18.7,0.753,13.8,40.4,14,5.94,6.42,11.8,16.8,1
Coppin State,-12.78,-5.03,6,8,66.9,74.7,40,22.3,57.8,0.386,8.56,28.9,0.297,13.7,20,0.684,7.81,34.2,11,8.06,3,14.4,16.8,0
Cornell,-3.41,-3.45,7,7,79.2,74.7,40.2,28.3,60.6,0.467,9.65,27.7,0.348,13,18.4,0.707,9.92,37.9,17.3,7.92,2.92,14.2,18.7,0
Creighton,11.34,8.54,12,7,69.2,66.4,40.4,25.6,57.2,0.448,6.71,21.8,0.308,11.3,15.3,0.738,9.6,38.1,13.3,5.49,4.26,14.1,13.6,1
Dartmouth,-4.12,-2.62,6,8,68.4,68.2,40.6,24.3,58.4,0.417,8.88,26.2,0.339,10.8,14,0.772,8.4,33.1,10.4,6.64,3.36,11.5,16.1,0
Davidson,10.43,1.92,15,3,75.5,66,40.1,26.7,55.5,0.481,8.85,22.9,0.387,13.2,17.6,0.754,7.38,34.1,14.6,4.62,2.59,9.79,14.8,1
Dayton,10.41,2.41,14,4,69.2,61.2,40.1,25.7,53.8,0.478,6.54,18.1,0.361,11.2,16.4,0.683,9.2,35.2,14.4,5.54,3.86,12.4,13.9,0
Delaware State,-22.63,-7.39,0,14,62.8,73.5,40.2,22.6,56,0.404,6.04,18.6,0.325,11.5,17.1,0.672,9.93,35.3,9.68,7.25,4,17.5,18,0
Delaware,0.32,-1.82,10,8,73.4,70.2,40.3,26,55.4,0.469,7.46,21.5,0.347,14,18.8,0.744,8.51,32.5,12.6,6.66,3.69,12.6,15.6,1
Denver,-10.12,-5.96,7,11,70.5,74.4,40.5,25.5,55.4,0.46,7.25,19.7,0.368,12.3,17.6,0.697,7.53,32.3,12.3,5.22,3.34,12.9,17.4,0
DePaul,7.83,6.73,6,14,73.3,72.2,40.2,26.3,60.7,0.433,6.58,20.8,0.317,14.1,20.3,0.693,11.8,38.5,11.4,6.23,5,12.3,15.7,0
Detroit Mercy,-6.33,-5.02,10,7,70.7,70.5,40,25.1,57.2,0.438,10.4,27.9,0.374,10.2,13.1,0.776,9.27,31.6,12.1,5.87,1.93,11.6,15.4,0
Dixie State,-8.53,-0.53,6,12,72.5,74.1,40.2,25.6,60.2,0.426,7.06,22.5,0.314,14.1,20.8,0.679,10.7,38.5,15.5,6.71,2.42,15,18.8,0
Drake,7.34,1.04,13,5,73.9,66.4,40.8,27.2,59.1,0.46,7.03,20.4,0.344,12.5,16.5,0.755,9.89,34.7,11.9,7,3.19,10.8,17,0
Drexel,-0.29,-1.9,10,8,72.8,70.3,40.3,27.4,59.2,0.463,7.28,21,0.346,10.7,15,0.71,8.52,34.2,12.5,4.76,3,10.9,15.2,0
Duke,19.55,7.26,16,4,80.1,67.8,40.1,29.7,60.4,0.491,7.9,21.6,0.366,12.8,17.3,0.738,10.5,37.9,16.5,6.38,5.62,10.3,13.6,1
Duquesne,-6.34,1.86,1,16,65.2,73.4,40.7,24.7,61.4,0.403,6.23,20.5,0.305,9.5,13.4,0.707,11.4,34.1,10,6.63,4.37,11.5,13.9,0
East Carolina,0.49,2.66,6,11,68.8,70.9,40.3,23.3,57.5,0.406,7.5,22.5,0.333,14.5,19.3,0.754,9.97,35.2,14.7,6.77,3.07,13,16.2,0
East Tennessee State,-2.76,-0.36,7,11,72.1,73,40.2,26.7,60,0.444,8.78,25.1,0.35,9.97,13.8,0.725,10.9,34.8,13.1,6.75,2.78,11.3,14.8,0
